" "" نماینده مجلس خطاب به قربانی اسیدپاشی : ازدست مجرم قسر درفتهای فقط نصف صورت سوخته ! مرضیه ابراهیمی خطاب به سعیدی نماینده مبارکه : واقعامتاسفم که شمانماینده اصفهان هستیدونمی دانیدعاملان حادثه اسیدپاشی اصفهان هنوزمشخص نشدهاند وبه من میگویدقِسِر در رفتهای ! "" ",0
_آرره دیگه بعدش گفتم استاد دارید مسخره میکنید منو؟؟ استادم گفت نههه من مسخره ندارم کسیو بکنم + :| [هنوزم معتقده جمله‌ش درست بوده:))))],1
_چجوری میتونی اصفهانی باشی و هوادار پرسپولیس؟  + چجوری میتونی ایرانی باشی و پرچم ژاپن تو دستت؟  _سوالو با سوال جواب نده :||,1
- داداش #سربازی ت کی تموم میشه ایشالا؟ + چیزی نمونده! - پس باید شیرینیش رو ازت بگیریم! + فعلا ۳۰۰-۴۰۰ نفر تو صف اند! برو ته صف!! :)),0
- در گذشته زندگی می کنی یا حال؟ اگر در گذشته زندگی می کنی افسرده هستی... اگر در حال... + در کثافت و دریورگی زندگی می کنم. بکشید بیرون. :/,1
-بیدارى؟(٣صبح) +آره(٣صبح) -بریم شمال؟(٣:٠١) +حله بزار یکم گوشیم شارژ سه(٣:٠١) -شارژر فندکى رو بیار سر کوچم(٣:٠٢)  برنامه چیدن پسرا 😁,0
"-چرا کشتیش؟  +آقای قاضی هروقت موهامو سشوار میکشیدم میرفتم دیدنش با ذکر \""وای موهاشو\""  دست مینداخت موهامو بهم میریخت 😑 ",1
-در بیابان طلب گر چه ز هر سو خطریست/می‌رود حافظ بی‌دل به تولای تو خوش -بیدل؟ -حافظ. :)))) سعدیا مرد نکونام نمیرد هرگز. مال کیه؟ :))),1
: ♻️هیچوقت فردی را بدون آنکه تمام داستان را بدانید قضاوت نکنید!  شاید فکر کنید که شما همه چیز را ميبينيد و میدانید، ولی در اشتباهید...  💞,0
: 💕اگردر زندگی به در بزرگی رسیدی، که قفل برآن بود مضطرب و نا امید نشو چون اگر قرار بود باز نشود به جای آن دیوار می گذاشتند,1
: آرزو دارم با بارش هر دونه از برف زمستونی یه غم از رو دلتون کم بشه❄️🙏  عمرتون بلند آرزوهاتون دست یافتنی لبتون خندان دلتــــــون شاد❣,0
